Nazwa kliniki,Województwo,Typ kliniki,Liczba pracowników,Źródło leada,Liczba rozmów,Liczba maili,Otworzył prezentację,Demo przeprowadzone,Wysłał zapytanie,Brał udział w webinarium,Czas odpowiedzi (h),Kupiono
FPUH Choroś-Front Sp.k.,pomorskie,uczelniana,3,targi,0,2,0,0,1,0,19,0
Stowarzyszenie Sumera S.A.,śląskie,uczelniana,20,polecenie,1,4,1,1,1,0,7,1
Wawszczyk-Łabno Sp.k.,mazowieckie,ogólna,14,targi,0,0,0,0,0,1,51,0
Spółdzielnia Dejneka,dolnośląskie,ogólna,19,polecenie,2,2,0,0,1,0,23,0
Spółdzielnia Supernak-Osik s.c.,mazowieckie,specjalistyczna,29,targi,2,2,0,1,1,0,45,0
Habdas Sp.j.,mazowieckie,specjalistyczna,19,strona WWW,3,2,0,0,1,1,42,0
FPUH Nogieć,mazowieckie,specjalistyczna,28,targi,3,2,1,0,1,0,6,1
Halik-Kędziorek Sp.k.,śląskie,uczelniana,14,cold call,3,1,0,1,0,0,48,0
Zajko Sp.k.,pomorskie,uczelniana,13,strona WWW,1,1,1,0,1,0,7,1
Młyńczyk-Malcher Sp. z o.o. Sp.k.,śląskie,uczelniana,21,targi,1,2,0,0,0,0,27,0
Ślęczka-Lulek i syn s.c.,pomorskie,mobilna,26,polecenie,3,2,0,0,0,0,22,0
Stowarzyszenie Malecha,pomorskie,specjalistyczna,18,targi,3,1,1,1,1,0,5,1
Palak i syn s.c.,pomorskie,ogólna,21,polecenie,2,2,0,0,1,1,28,0
Kowalówka-Rok Sp. z o.o. Sp.k.,śląskie,ogólna,4,cold call,0,1,0,0,0,1,15,0
FPUH Kujda-Tatarczuk Sp.k.,śląskie,specjalistyczna,24,polecenie,1,0,0,0,0,1,62,0
Bodzak Sp. z o.o.,wielkopolskie,ogólna,20,mailing,2,1,0,0,0,1,16,0
PPUH Ćwierz Sp.j.,wielkopolskie,ogólna,18,strona WWW,1,0,1,1,1,1,1,1
Szyca-Radzewicz Sp. z o.o. Sp.k.,śląskie,uczelniana,27,cold call,3,1,1,1,1,0,8,1
Grupa Chwedczuk,mazowieckie,ogólna,14,polecenie,0,5,1,1,1,0,1,1
Fundacja Torbus-Kocoł i syn s.c.,wielkopolskie,uczelniana,9,targi,0,0,0,1,0,1,31,0
Stowarzyszenie Kazubek s.c.,śląskie,specjalistyczna,15,cold call,0,0,0,0,0,1,19,0
Stowarzyszenie Nowek i syn s.c.,wielkopolskie,uczelniana,24,mailing,3,0,0,1,1,1,66,0
Usarek i syn s.c.,wielkopolskie,ogólna,3,mailing,3,0,0,1,1,1,15,0
Stowarzyszenie Sierota,śląskie,uczelniana,5,mailing,1,0,0,0,1,1,16,0
Spółdzielnia Trepczyk-Keler Sp.j.,wielkopolskie,specjalistyczna,23,polecenie,4,0,1,1,1,0,6,1
Stowarzyszenie Gwara S.A.,mazowieckie,uczelniana,21,mailing,3,1,0,1,1,1,2,1
Stowarzyszenie Dynak Sp.j.,śląskie,mobilna,11,strona WWW,0,2,0,0,1,0,16,0
Giersz-Kapka s.c.,mazowieckie,specjalistyczna,10,targi,2,2,0,0,0,0,46,0
Fundacja Jeka Sp.k.,pomorskie,uczelniana,10,targi,1,1,0,0,1,1,41,0
Kurp-Andrys Sp. z o.o. Sp.k.,śląskie,uczelniana,19,cold call,3,6,0,1,1,0,5,1
Kuba Sp. z o.o. Sp.k.,wielkopolskie,specjalistyczna,15,strona WWW,0,0,0,0,0,1,12,0
Helak i syn s.c.,mazowieckie,mobilna,26,mailing,2,6,0,0,1,1,4,1
Gabinety Kuban S.A.,śląskie,uczelniana,2,strona WWW,3,2,0,0,0,1,28,0
Wydrych-Goliszek Sp.j.,śląskie,ogólna,14,targi,2,1,0,0,0,0,42,0
Sobków-Chojna i syn s.c.,śląskie,ogólna,23,strona WWW,1,0,0,0,0,1,37,0
Grupa Mytych-Herdzik Sp. z o.o.,pomorskie,mobilna,2,targi,2,0,0,0,1,0,59,0
Spółdzielnia Żyrek s.c.,wielkopolskie,mobilna,15,mailing,2,0,0,0,0,1,63,0
Leoniuk-Konat Sp.k.,mazowieckie,specjalistyczna,13,cold call,0,1,0,0,1,1,63,0
Spółdzielnia Władyka-Wojtaszczyk Sp.k.,pomorskie,mobilna,23,cold call,5,2,1,1,1,1,5,1
Grupa Siekierka,pomorskie,mobilna,14,mailing,2,2,0,1,0,0,30,0
Fundacja Błażejak Sp.k.,dolnośląskie,uczelniana,16,strona WWW,2,1,0,0,0,0,49,0
Grupa Maleszka s.c.,mazowieckie,specjalistyczna,23,polecenie,1,2,0,1,0,0,50,0
PPUH Głuszko,dolnośląskie,uczelniana,30,mailing,1,1,0,1,1,0,2,1
Pasierbek-Łyczek Sp.k.,mazowieckie,uczelniana,9,strona WWW,5,3,0,1,1,0,1,1
Wojtak-Rajda S.A.,dolnośląskie,mobilna,26,cold call,3,0,0,0,0,1,25,0
Knych s.c.,wielkopolskie,specjalistyczna,28,polecenie,3,2,0,0,1,0,65,0
Kuban S.A.,wielkopolskie,mobilna,12,mailing,3,2,0,0,0,0,38,0
Gabinety Trojanek Sp. z o.o. Sp.k.,dolnośląskie,mobilna,19,cold call,1,1,0,1,1,1,7,1
Fundacja Trzop-Moj Sp.k.,pomorskie,uczelniana,17,targi,1,1,0,0,0,0,10,0
Spółdzielnia Matejczyk,dolnośląskie,specjalistyczna,10,cold call,2,1,0,0,0,0,36,0
FPUH Rodzeń-Sadłocha S.A.,śląskie,ogólna,14,mailing,3,1,0,0,0,0,67,0
Gabinety Wiech,wielkopolskie,uczelniana,12,strona WWW,0,0,0,0,1,0,14,0
Orszulik-Osial S.A.,dolnośląskie,ogólna,25,mailing,2,1,0,0,0,0,18,0
Huber-Bródka s.c.,śląskie,specjalistyczna,28,targi,2,1,1,1,1,0,1,1
Bryja Sp. z o.o.,wielkopolskie,mobilna,7,mailing,1,0,0,0,1,0,67,0
Roch-Giec Sp.j.,pomorskie,uczelniana,14,strona WWW,0,0,0,0,1,1,47,0
Kędziorek-Lazarek Sp. z o.o. Sp.k.,pomorskie,ogólna,13,mailing,5,6,0,1,1,0,2,1
Siudek Sp. z o.o.,mazowieckie,uczelniana,13,cold call,2,0,0,0,0,0,70,0
Fundacja Muniak,dolnośląskie,uczelniana,28,mailing,3,0,0,0,0,1,69,0
Skutnik Sp.k.,pomorskie,uczelniana,12,targi,1,6,0,0,1,0,8,1
FPUH Krauza-Drobot Sp. z o.o.,pomorskie,mobilna,19,targi,2,0,0,0,0,1,43,0
Gabinety Żelasko-Koloch Sp.k.,dolnośląskie,uczelniana,16,targi,1,0,0,0,0,0,38,0
FPUH Mirocha,pomorskie,mobilna,15,mailing,1,3,1,1,1,0,8,1
Suchora-Podpora Sp. z o.o. Sp.k.,mazowieckie,specjalistyczna,8,strona WWW,3,1,0,0,1,0,48,0
Fiołka Sp.k.,śląskie,mobilna,9,polecenie,2,2,0,0,0,0,20,0
PPUH Warmuz,śląskie,uczelniana,5,targi,0,5,0,1,1,0,5,1
Zegar Sp.k.,mazowieckie,ogólna,14,cold call,3,1,0,0,1,1,69,0
Grupa Trzpil Sp. z o.o. Sp.k.,mazowieckie,specjalistyczna,5,mailing,5,5,0,1,1,0,5,1
FPUH Kasznia,wielkopolskie,ogólna,21,targi,1,2,0,0,0,1,62,0
Kutek-Kiedrowicz Sp. z o.o.,pomorskie,ogólna,7,targi,1,2,0,0,0,1,30,0
Jas Sp.k.,mazowieckie,specjalistyczna,10,mailing,3,1,0,1,1,1,66,0
Grupa Kuliberda S.A.,śląskie,ogólna,3,strona WWW,1,1,0,1,1,1,42,0
Fundacja Błasik-Welenc s.c.,pomorskie,uczelniana,16,targi,2,1,0,1,0,0,42,0
FPUH Teodorowicz-Dziduch s.c.,wielkopolskie,ogólna,26,strona WWW,3,2,0,0,1,1,10,0
Gabinety Dzienisz-Plaskota Sp.j.,mazowieckie,uczelniana,13,cold call,3,1,0,1,0,0,70,0
PPUH Blank Sp. z o.o. Sp.k.,pomorskie,ogólna,16,targi,0,0,0,0,0,1,59,0
Ośko Sp.k.,pomorskie,uczelniana,15,targi,2,0,0,0,0,0,8,0
Żugaj-Wiercigroch Sp.k.,wielkopolskie,specjalistyczna,11,cold call,2,4,1,0,1,0,4,1
Dzienniak S.A.,wielkopolskie,ogólna,19,cold call,3,0,0,1,0,0,28,0
Antoszczyk Sp. z o.o. Sp.k.,pomorskie,mobilna,15,cold call,0,3,1,0,1,1,5,1
FPUH Pych s.c.,mazowieckie,mobilna,26,cold call,1,1,0,0,0,0,25,0
Spółdzielnia Smektała,śląskie,uczelniana,19,cold call,2,0,0,0,1,0,70,0
Kluj i syn s.c.,pomorskie,uczelniana,9,cold call,3,1,0,0,0,0,38,0
Stowarzyszenie Melka-Kośnik S.A.,dolnośląskie,ogólna,6,mailing,5,3,1,0,1,1,3,1
Zbroja-Gryta s.c.,mazowieckie,specjalistyczna,15,strona WWW,2,0,0,0,0,0,66,0
Kubieniec Sp.j.,pomorskie,uczelniana,12,cold call,2,2,1,1,1,1,6,1
Mielcarz-Kapral Sp.k.,mazowieckie,uczelniana,5,targi,0,2,0,1,0,0,37,0
PPUH Siembab S.A.,dolnośląskie,specjalistyczna,9,mailing,2,0,0,1,0,1,55,0
Gosik Sp.k.,dolnośląskie,specjalistyczna,9,cold call,1,0,0,1,0,1,38,0
FPUH Niewola i syn s.c.,pomorskie,specjalistyczna,4,cold call,3,1,0,0,0,0,44,0
PPUH Twardy s.c.,śląskie,uczelniana,29,cold call,2,2,0,0,0,0,46,0
Fundacja Galuba,dolnośląskie,mobilna,2,mailing,3,4,0,1,1,0,1,1
Stowarzyszenie Apanowicz Sp.j.,pomorskie,mobilna,9,strona WWW,0,2,0,0,0,0,37,0
PPUH Parda Sp.j.,mazowieckie,mobilna,25,strona WWW,1,2,0,1,0,1,64,0
Ankiewicz-Krakowczyk S.A.,pomorskie,mobilna,28,strona WWW,2,2,0,0,1,1,6,1
Kremer-Parkitny Sp. z o.o.,mazowieckie,specjalistyczna,26,strona WWW,3,6,1,1,1,0,8,1
Rasała-Bartocha Sp.k.,dolnośląskie,mobilna,23,polecenie,3,2,0,0,0,1,23,0
PPUH Wosiek Sp. z o.o.,pomorskie,specjalistyczna,22,targi,2,0,0,0,0,0,49,0
Glazer-Cyrek Sp. z o.o. Sp.k.,wielkopolskie,uczelniana,5,targi,3,2,0,0,0,1,12,0
Gabinety Kuffel,pomorskie,specjalistyczna,30,cold call,4,1,1,1,1,0,7,1
Walocha Sp. z o.o.,śląskie,uczelniana,16,strona WWW,3,2,0,0,0,1,55,0
Osojca Sp.k.,dolnośląskie,mobilna,8,targi,0,2,0,0,0,0,15,0
PPUH Przerwa,mazowieckie,mobilna,9,strona WWW,3,0,0,0,0,0,10,0
Stowarzyszenie Kulma,wielkopolskie,specjalistyczna,27,mailing,1,0,0,0,0,0,37,0
Skubis-Cygal i syn s.c.,śląskie,ogólna,13,strona WWW,1,1,1,1,1,1,1,1
Pacia-Wawrzyczek i syn s.c.,mazowieckie,uczelniana,16,polecenie,0,0,0,0,1,0,22,0
Grupa Wawrzyn,dolnośląskie,ogólna,3,cold call,0,1,0,0,0,1,46,0
FPUH Stąpor,wielkopolskie,specjalistyczna,4,strona WWW,3,2,0,1,0,0,18,0
Siedlarz S.A.,dolnośląskie,uczelniana,5,targi,5,4,1,1,1,0,5,1
Gabinety Skiepko,dolnośląskie,uczelniana,25,targi,1,1,0,0,1,1,66,0
PPUH Zbylut,mazowieckie,ogólna,28,targi,2,2,0,0,0,0,68,0
Gabinety Polewka,mazowieckie,uczelniana,13,cold call,0,5,1,0,1,0,6,1
Stowarzyszenie Smoter,śląskie,uczelniana,9,targi,0,1,0,0,0,0,35,0
Spółdzielnia Hajdasz Sp. z o.o.,pomorskie,mobilna,2,strona WWW,2,0,0,0,0,0,11,0
Krzyszczak Sp. z o.o.,mazowieckie,specjalistyczna,25,targi,2,2,0,1,1,1,7,1
Gabinety Prokopczyk-Procek Sp. z o.o. Sp.k.,wielkopolskie,ogólna,30,targi,4,1,1,1,1,1,5,1
PPUH Liśkiewicz,pomorskie,uczelniana,15,polecenie,4,0,0,1,1,0,8,1
Fundacja Cieniuch-Dyka i syn s.c.,pomorskie,mobilna,3,strona WWW,4,0,0,1,1,0,8,1
FPUH Klin S.A.,wielkopolskie,mobilna,5,targi,0,0,0,0,0,0,40,0
Gabinety Wojtunik-Para s.c.,mazowieckie,uczelniana,29,targi,3,0,0,1,0,1,53,0
Gabinety Pietrewicz-Dawidek Sp. z o.o. Sp.k.,wielkopolskie,ogólna,14,targi,3,0,0,0,0,0,61,0
Strzoda Sp. z o.o. Sp.k.,mazowieckie,specjalistyczna,15,mailing,1,2,0,0,0,1,63,0
Fundacja Musiolik-Przystupa s.c.,mazowieckie,ogólna,18,mailing,0,1,0,0,0,1,29,0
Fundacja Andrukiewicz,mazowieckie,specjalistyczna,10,strona WWW,2,2,1,0,1,0,4,1
Miechowicz-Draus S.A.,dolnośląskie,uczelniana,23,mailing,1,6,0,0,1,0,8,1
Grupa Sobkiewicz S.A.,wielkopolskie,ogólna,13,mailing,2,2,0,0,0,0,46,0
Omiotek Sp. z o.o.,pomorskie,uczelniana,16,mailing,3,3,1,1,1,1,2,1
Grupa Gumienny,pomorskie,specjalistyczna,3,cold call,0,1,0,0,0,1,68,0
PPUH Garncarz Sp.j.,dolnośląskie,specjalistyczna,13,polecenie,2,5,1,1,1,1,8,1
Dulas-Bona Sp. z o.o.,mazowieckie,mobilna,5,mailing,3,1,0,0,0,1,50,0
Sądej S.A.,wielkopolskie,ogólna,20,strona WWW,2,1,0,0,0,0,27,0
Zys-Hanus Sp. z o.o. Sp.k.,wielkopolskie,uczelniana,22,polecenie,2,2,0,0,0,0,18,0
Murach S.A.,śląskie,specjalistyczna,12,cold call,0,2,0,0,0,1,47,0
Rochowiak-Pałgan Sp. z o.o. Sp.k.,wielkopolskie,specjalistyczna,21,cold call,1,1,1,1,1,1,1,1
Stowarzyszenie Loska,mazowieckie,uczelniana,13,strona WWW,1,6,1,1,1,0,8,1
Janoszka Sp.k.,śląskie,mobilna,23,mailing,2,2,0,0,1,1,68,0
Fundacja Łapacz-Bakalarczyk Sp. z o.o. Sp.k.,śląskie,specjalistyczna,29,polecenie,3,1,0,0,0,0,28,0
PPUH Krzyśków,wielkopolskie,ogólna,26,strona WWW,3,6,1,1,1,0,2,1
PPUH Wolańczyk,wielkopolskie,ogólna,15,targi,4,1,0,0,1,0,8,1
Spółdzielnia Mulawa s.c.,mazowieckie,mobilna,27,strona WWW,2,0,0,0,1,1,48,0
PPUH Pierchała-Niesporek Sp.k.,dolnośląskie,ogólna,30,targi,2,6,1,1,1,0,8,1
Rduch S.A.,mazowieckie,mobilna,9,polecenie,1,6,1,1,1,0,7,1
Gabinety Włodarz-Pyszny Sp.j.,pomorskie,ogólna,22,mailing,1,3,1,1,1,1,8,1
Dziadura-Grosz s.c.,śląskie,ogólna,18,polecenie,1,1,0,0,0,1,61,0
Malcherek-Zasępa Sp.k.,dolnośląskie,ogólna,22,cold call,4,4,1,1,1,0,7,1
PPUH Patora-Brudny s.c.,pomorskie,mobilna,6,targi,2,2,0,1,0,1,21,0
PPUH Kocaj,śląskie,specjalistyczna,4,cold call,2,2,0,1,0,0,69,0
Gabinety Sadura-Olkowicz Sp.j.,pomorskie,uczelniana,28,mailing,1,0,1,0,1,1,5,1
Gabinety Orkisz-Szram S.A.,wielkopolskie,ogólna,27,polecenie,0,2,0,1,0,0,50,0
Pęciak Sp.k.,dolnośląskie,uczelniana,13,mailing,3,2,0,0,0,1,31,0
